CIE10_X,CIE10,DESCRIPCION CIE
D120,D120,TUMOR BENIGNO DEL CIEGO
D121,D121,TUMOR BENIGNO DEL APENDICE
D122,D122,TUMOR BENIGNO DEL COLON ASCENDENTE
D123,D123,TUMOR BENIGNO DEL COLON TRANSVERSO
D124,D124,TUMOR BENIGNO DEL COLON DESCENDENTE
D125,D125,TUMOR BENIGNO DEL COLON SIGMOIDE
D126,D126,TUMOR BENIGNO DEL COLON
D127,D127,TUMOR BENIGNO DE LA UNION RECTOSIGMOIDEA
D128,D128,TUMOR BENIGNO DEL RECTO
D129,D129,TUMOR BENIGNO DEL CONDUCTO ANAL Y DEL ANO
D130,D130,TUMOR BENIGNO DEL ESOFAGO
D131,D131,TUMOR BENIGNO DEL ESTOMAGO
D132,D132,TUMOR BENIGNO DEL DUODENO
D133,D133,TUMOR BENIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL INTESTINO DELGADO
D134,D134,TUMOR BENIGNO DEL HIGADO
D135,D135,TUMOR BENIGNO DE LAS VIAS BILIARES EXTRAHEPATICAS
D136,D136,TUMOR BENIGNO DEL PANCREAS
D137,D137,TUMOR BENIGNO DEL PANCREAS ENDOCRINO
D139,D139,TUMOR BENIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA DIGESTIVO
D140,D140,TUMOR BENIGNO DEL OIDO MEDIO
D141,D141,TUMOR BENIGNO DE LA LARINGE
D142,D142,TUMOR BENIGNO DE LA TRAQUEA
D143,D143,TUMOR BENIGNO DE LOS BRONQUIOS Y DEL PULMON
D144,D144,TUMOR BENIGNO DEL SISTEMA RESPIRATORIO
D150,D150,TUMOR BENIGNO DEL TIMO
D151,D151,TUMOR BENIGNO DEL CORAZON
D152,D152,TUMOR BENIGNO DEL MEDIASTINO
D157,D157,TUMOR BENIGNO DE OTROS ORGANOS INTRATORACICOS ESPECIFICADOS
D159,D159,TUMOR BENIGNO DE ORGANO INTRATORACICO NO ESPECIFICADO
D160,D160,TUMOR BENIGNO DEL OMOPLATO Y HUESOS LARGOS DEL MIEMBRO SUPERIOR
D161,D161,TUMOR BENIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR
D162,D162,TUMOR BENIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR
D163,D163,TUMOR BENIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR
D164,D164,TUMOR BENIGNO DE LOS HUESOS DEL CRANEO Y DE LA CARA
D165,D165,TUMOR BENIGNO DEL MAXILAR INFERIOR
D166,D166,TUMOR BENIGNO DE LA COLUMNA VERTEBRAL
D167,D167,TUMOR BENIGNO DE LAS COSTILLAS
D168,D168,TUMOR BENIGNO DE LOS HUESOS PELVICOS
D169,D169,TUMOR BENIGNO DEL HUESO Y DEL CARTILAGO ARTICULAR
D170,D170,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE CABEZA
D171,D171,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DEL TRONCO
D172,D172,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS
D173,D173,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D174,D174,TUMOR BENIGNO LIPOMATOSO DE LOS ORGANOS INTRATORACICOS
D175,D175,TUMOR BENIGNO LIPOMATOSO DE LOS ORGANOS INTRAABDOMINALES
D176,D176,TUMOR BENIGNO LIPOMATOSO DEL CORDON ESPERMATICO
D177,D177,TUMOR BENIGNO LIPOMATOSO DE OTROS SITIOS ESPECIFICADOS
D179,D179,TUMOR BENIGNO LIPOMATOSO
D180,D180,HEMANGIOMA
D181,D181,LINFANGIOMA
D190,D190,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DE LA PLEURA
D191,D191,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DEL PERITONEO
D197,D197,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DE OTROS SITIOS ESPECIFICADOS
D199,D199,TUMOR BENIGNO DEL TEJIDO MESOTELIAL
D200,D200,TUMOR BENIGNO DEL RETROPERITONEO
D201,D201,TUMOR BENIGNO DEL PERITONEO
D210,D210,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA
D211,D211,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO SUPERIOR
D212,D212,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO INFERIOR
D213,D213,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL TORAX
D214,D214,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS DEL ABDOMEN
D215,D215,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS DE LA PELVIS
D216,D216,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS DEL TRONCO
D219,D219,TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS
D220,D220,NEVO MELANOCITICO DEL LABIO
D221,D221,NEVO MELANOCITICO DEL PARPADO
D222,D222,NEVO MELANOCITICO DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO
D223,D223,NEVO MELANOCITICO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
D224,D224,NEVO MELANOCITICO DEL CUERO CABELLUDO Y DEL CUELLO
D225,D225,NEVO MELANOCITICO DEL TRONCO
D226,D226,NEVO MELANOCITICO DEL MIEMBRO SUPERIOR
D227,D227,NEVO MELANOCITICO DEL MIEMBRO INFERIOR
D229,D229,NEVO MELANOCITICO
D230,D230,TUMOR BENIGNO DE LA PIEL DEL LABIO
D231,D231,TUMOR BENIGNO DE LA PIEL DEL PARPADO
D232,D232,TUMOR BENIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO
D233,D233,TUMOR BENIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
D234,D234,TUMOR BENIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO
D235,D235,TUMOR BENIGNO DE LA PIEL DEL TRONCO
D236,D236,TUMOR BENIGNO DE LA PIEL DEL MIEMBRO SUPERIOR
D237,D237,TUMOR BENIGNO DE LA PIEL DEL MIEMBRO INFERIOR
D239,D239,TUMOR BENIGNO DE LA PIEL
D24X,D24,TUMOR BENIGNO DE LA MAMA
D250,D250,LEIOMIOMA SUBMUCOSO DEL UTERO
D251,D251,LEIOMIOMA INTRAMURAL DEL UTERO
D252,D252,LEIOMIOMA SUBSEROSO DEL UTERO
D259,D259,LEIOMIOMA DEL UTERO
D260,D260,TUMOR BENIGNO DEL CUELLO DEL UTERO
D261,D261,TUMOR BENIGNO DEL CUERPO DEL UTERO
D267,D267,TUMOR BENIGNO DE OTRAS PARTES ESPECIFICADAS DEL UTERO
D269,D269,TUMOR BENIGNO DEL UTERO
D27X,D27,TUMOR BENIGNO DEL OVARIO
D280,D280,TUMOR BENIGNO DE LA VULVA
D281,D281,TUMOR BENIGNO DE LA VAGINA
D282,D282,TUMOR BENIGNO DE LA TROMPA DE FALOPIO Y DE LOS LIGAMENTOS UTERINOS
D287,D287,TUMOR BENIGNO DE OTROS SITIOS ESPECIFICADOS DE LOS ORGANOS GENITALES FEMENINOS
D289,D289,TUMOR BENIGNO DE ORGANO GENITAL FEMENINO
D290,D290,TUMOR BENIGNO DEL PENE
D291,D291,TUMOR BENIGNO DE LA PROSTATA
D292,D292,TUMOR BENIGNO DE LOS TESTICULOS
D293,D293,TUMOR BENIGNO DEL EPIDIDIMO
D294,D294,TUMOR BENIGNO DEL ESCROTO
D297,D297,TUMOR BENIGNO DE OTROS ORGANOS GENITALES MASCULINOS
D299,D299,TUMOR BENIGNO DE ORGANO GENITAL MASCULINO
D300,D300,TUMOR BENIGNO DEL RIÑON
D301,D301,TUMOR BENIGNO DE LA PELVIS RENAL
D302,D302,TUMOR BENIGNO DEL URETER
D303,D303,TUMOR BENIGNO DE LA VEJIGA
D304,D304,TUMOR BENIGNO DE LA URETRA
D307,D307,TUMOR BENIGNO DE OTROS ORGANOS URINARIOS
D309,D309,TUMOR BENIGNO DE ORGANO URINARIO NO ESPECIFICADO
D310,D310,TUMOR BENIGNO DE LA CONJUNTIVA
D311,D311,TUMOR BENIGNO DE LA CORNEA
D312,D312,TUMOR BENIGNO DE LA RETINA
D313,D313,TUMOR BENIGNO DE LA COROIDES
D314,D314,TUMOR BENIGNO DEL CUERPO CILIAR
D315,D315,TUMOR BENIGNO DE LAS GLANDULAS Y DE LOS CONDUCTOS LAGRIMALES
D316,D316,TUMOR BENIGNO DE LA ORBITA
D319,D319,TUMOR BENIGNO DEL OJO
D320,D320,TUMOR BENIGNO DE LAS MENINGES CEREBRALES
D321,D321,TUMOR BENIGNO DE LAS MENINGES RAQUIDEAS
D329,D329,TUMOR BENIGNO DE LAS MENINGES
D330,D330,TUMOR BENIGNO DEL ENCEFALO
D331,D331,TUMOR BENIGNO DEL ENCEFALO
D332,D332,TUMOR BENIGNO DEL ENCEFALO
D333,D333,TUMOR BENIGNO DE LOS NERVIOS CRANEALES
D334,D334,TUMOR BENIGNO DE LA MEDULA ESPINAL
D337,D337,TUMOR BENIGNO DE OTRAS PARTES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
D339,D339,TUMOR BENIGNO DEL SISTEMA NERVIOSO CENTRAL
D34X,D34,TUMOR BENIGNO DE LA GLANDULA TIROIDES
D350,D350,TUMOR BENIGNO DE LA GLANDULA SUPRARRENAL
D351,D351,TUMOR BENIGNO DE LA GLANDULA PARATIROIDES
D352,D352,TUMOR BENIGNO DE LA HIPOFISIS
D353,D353,TUMOR BENIGNO DEL CONDUCTO CRANEOFARINGEO
D354,D354,TUMOR BENIGNO DE LA GLANDULA PINEAL
D355,D355,TUMOR BENIGNO DEL CUERPO CAROTIDEO
D356,D356,TUMOR BENIGNO DEL CUERPO AORTICO Y DE OTROS CUERPOS CROMAFINES
D357,D357,TUMOR BENIGNO DE OTRAS GLANDULAS ENDOCRINAS ESPECIFICADAS
D358,D358,TUMOR BENIGNO PLURIGLANDULAR
D359,D359,TUMOR BENIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA
D360,D360,TUMOR BENIGNO DE LOS GANGLIOS LINFATICOS
D361,D361,TUMOR BENIGNO DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO
D367,D367,TUMOR BENIGNO DE OTROS SITIOS ESPECIFICADOS
D369,D369,TUMOR BENIGNO DE SITIO NO ESPECIFICADO
D370,D370,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL LABIO
D371,D371,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ESTOMAGO
D372,D372,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL INTESTINO DELGADO
D373,D373,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL APENDICE
D374,D374,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL COLON
D375,D375,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RECTO
D376,D376,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL HIGADO
D377,D377,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS DIGESTIVOS ESPECIFICADOS
D379,D379,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ORGANOS DIGESTIVOS
D380,D380,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LARINGE
D381,D381,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA TRAQUEA
D382,D382,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PLEURA
D383,D383,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL MEDIASTINO
D384,D384,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TIMO
D385,D385,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS RESPIRATORIOS Y DEL OIDO MEDIO
D386,D386,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ORGANOS RESPIRATORIOS
D390,D390,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL UTERO
D391,D391,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO
D392,D392,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PLACENTA
D397,D397,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS GENITALES FEMENINOS
D399,D399,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ORGANO GENITAL FEMENINO NO ESPECIFICADO
D400,D400,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PROSTATA
D401,D401,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TESTICULO
D407,D407,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS GENITALES MASCULINOS
D409,D409,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ORGANO GENITAL MASCULINO NO ESPECIFICADO
D410,D410,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RIÑON
D411,D411,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PELVIS RENAL
D412,D412,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL URETER
D413,D413,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA URETRA
D414,D414,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA VEJIGA
D417,D417,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS URINARIOS
D419,D419,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ORGANO URINARIO NO ESPECIFICADO
D420,D420,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES CEREBRALES
D421,D421,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES RAQUIDEAS
D429,D429,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES
D430,D430,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO
D431,D431,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO
D432,D432,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO
D433,D433,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS NERVIOS CRANEALES
D434,D434,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MEDULA ESPINAL
D437,D437,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTRAS PARTES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
D439,D439,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL SISTEMA NERVIOSO CENTRAL
D440,D440,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA TIROIDES
D441,D441,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA SUPRARRENAL
D442,D442,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA PARATIROIDES
D443,D443,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA HIPOFISIS
D444,D444,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CONDUCTO CRANEOFARINGEO
D445,D445,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA PINEAL
D446,D446,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CUERPO CAROTIDEO
D447,D447,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CUERPO AORTICO Y OTROS CUERPOS CROMAFINES
D448,D448,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO CON AFECTACION PLURIGLANDULAR
D449,D449,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE GLANDULA ENDOCRINA NO ESPECIFICADA
D45X,D45,POLICITEMIA VERA
D460,D460,ANEMIA REFRACTARIA SIN SIDEROBLASTOS EN FORMA DE ANILLO
D461,D461,ANEMIA REFRACTARIA CON SIDEROBLASTOS EN FORMA DE ANILLO
D462,D462,ANEMIA REFRACTARIA CON EXCESO DE BLASTOS [AREB]
D463,D463,ANEMIA REFRACTARIA CON EXCESO DE BLASTOS CON TRANSFORMACION
D464,D464,ANEMIA REFRACTARIA
D465,D465,ANEMIA REFRACTARIA CON DISPLASIA MULTILINAJE
D466,D466,SINDROME MIELODISPLASICO CON ANORMALIDAD CROMOSOMICA AISLADA DEL (5Q)
D467,D467,OTROS SINDROMES MIELODISPLASICOS
D469,D469,SINDROME MIELODISPLASICO
D470,D470,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS MASTOCITOS E HISTIOCITOS
D471,D471,ENFERMEDAD MIELOPROLIFERATIVA CRONICA
D472,D472,GAMMOPATIA MONOCLONAL DE SIGNIFICADO INCIERTO [GMSI]
D473,D473,TROMBOCITOPENIA (HEMORRAGICA) ESENCIAL
D474,D474,OSTEOMIELOFIBROSIS
D475,D475,LEUCEMIA EOSINOFILICA CRONICA [SINDROME HIPEREOSINOFILICO]
D477,D477,OTROS TUMORES ESPECIFICADOS DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO LINFATICO
D479,D479,TUMORES DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO LINFATICO
D480,D480,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL HUESO Y CARTILAGO ARTICULAR
D481,D481,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO CONJUNTIVO Y OTRO TEJIDO BLANDO
D482,D482,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO
D483,D483,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RETROPERITONEO
D484,D484,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL PERITONEO
D485,D485,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PIEL
D486,D486,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA
D487,D487,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS SITIOS ESPECIFICADOS
D489,D489,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO
D500,D500,ANEMIA POR DEFICIENCIA DE HIERRO SECUNDARIA A PERDIDA DE SANGRE (CRONICA)
D501,D501,DISFAGIA SIDEROPENICA
D508,D508,OTRAS ANEMIAS POR DEFICIENCIA DE HIERRO
D509,D509,ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACION
D510,D510,ANEMIA POR DEFICIENCIA DE VITAMINA B12 DEBIDA A DEFICIENCIA DEL FACTOR INTRINSECO
D511,D511,ANEMIA POR DEFICIENCIA DE VITAMINA B12 DEBIDA A MALA ABSORCION SELECTIVA DE VITAMINA B12 CON PROTEINURIA
D512,D512,DEFICIENCIA DE TRASCOBALAMINA II
D513,D513,OTRAS ANEMIAS POR DEFICIENCIA DIETETICA DE VITAMINA B12
D518,D518,OTRAS ANEMIAS POR DEFICIENCIA DE VITAMINA B12
D519,D519,ANEMIA POR DEFICIENCIA DE VITAMINA B12
D520,D520,ANEMIA POR DEFICIENCIA DIETETICA DE FOLATOS
D521,D521,ANEMIA POR DEFICIENCIA DE FOLATOS INDUCIDA POR DROGAS
D528,D528,OTRAS ANEMIAS POR DEFICIENCIA DE FOLATOS
D529,D529,ANEMIA POR DEFICIENCIA DE FOLATOS
D530,D530,ANEMIA POR DEFICIENCIA DE PROTEINAS
D531,D531,OTRAS ANEMIAS MEGALOBLASTICAS
D532,D532,ANEMIA ESCORBUTICA
D538,D538,OTRAS ANEMIAS NUTRICIONALES ESPECIFICADAS
D539,D539,ANEMIA NUTRICIONAL
D550,D550,ANEMIA DEBIDA A DEFICIENCIA DE GLUCOSA-6-FOSFATO DESHIDROGENASA [G6FD]
D551,D551,ANEMIA DEBIDA A OTROS TRASTORNOS DEL METABOLISMO DEL GLUTATION
D552,D552,ANEMIA DEBIDA A TRASTORNOS DE LAS ENZIMAS GLUCOLITICAS
D553,D553,ANEMIA DEBIDA A TRASTORNOS DEL METABOLISMO DE LOS NUCLEOTIDOS
D558,D558,OTRAS ANEMIAS DEBIDAS A TRASTORNOS ENZIMATICOS
D559,D559,ANEMIA DEBIDA A TRASTORNOS ENZIMATICOS
D560,D560,ALFA TALASEMIA
D561,D561,BETA TALASEMIA
D562,D562,DELTA-BETA TALASEMIA
D563,D563,RASGO TALASEMICO
D564,D564,PERSISTENCIA HEREDITARIA DE LA HEMOGLOBINA FETAL [PHHF]
D568,D568,OTRAS TALASEMIAS
D569,D569,TALASEMIA
D570,D570,ANEMIA FALCIFORME CON CRISIS
D571,D571,ANEMIA FALCIFORME  SIN CRISIS
D572,D572,TRASTORNOS FALCIFORMES HETEROCIGOTOS DOBLES
D573,D573,RASGO DREPANOCITICO
D578,D578,OTROS TRASTORNOS FALCIFORMES
D580,D580,ESFEROCITOSIS HEREDITARIA
D581,D581,ELIPTOCITOSIS HEREDITARIA
D582,D582,OTRAS HEMOGLOBINOPATIAS
D588,D588,OTRAS ANEMIAS HEMOLITICAS HEREDITARIAS ESPECIFICADAS
D589,D589,ANEMIA HEMOLITICA HEREDITARIA
D590,D590,ANEMIA HEMOLITICA AUTOINMUNE INDUCIDA POR DROGAS
D591,D591,OTRAS ANEMIAS HEMOLITICAS AUTOINMUNES
D592,D592,ANEMIA HEMOLITICA NO AUTOINMUNE INDUCIDA POR DROGAS
D593,D593,SINDROME HEMOLITICO-UREMICO
D594,D594,OTRAS ANEMIAS HEMOLITICAS NO AUTOINMUNES
D595,D595,HEMOGLOBINURIA PAROXISTICA NOCTURNA [MARCHIAFAVA- MICHELI]
D596,D596,HEMOGLOBINURIA DEBIDA A HEMOLISIS POR OTRAS CAUSAS EXTERNAS
D598,D598,OTRAS ANEMIAS HEMOLITICAS ADQUIRIDAS
D599,D599,ANEMIA HEMOLITICA ADQUIRIDA
D600,D600,APLASIA CRONICA ADQUIRIDA
D601,D601,APLASIA TRANSITORIA ADQUIRIDA
D608,D608,OTRAS APLASIAS ADQUIRIDAS
D609,D609,APLASIA ADQUIRIDA
D610,D610,ANEMIA APLASTICA CONSTITUCIONAL
D611,D611,ANEMIA APLASTICA INDUCIDA POR DROGAS
D612,D612,ANEMIA APLASTICA DEBIDA A OTROS AGENTES EXTERNOS
D613,D613,ANEMIA APLASTICA IDIOPATICA
D618,D618,OTRAS ANEMIAS APLASTICAS ESPECIFICADAS
D619,D619,ANEMIA APLASTICA
D62X,D62,ANEMIA POSTHEMORRAGICA AGUDA
D630,D630,ANEMIA EN ENFERMEDAD NEOPLASICA
D638,D638,ANEMIA EN OTRAS ENFERMEDADES CRONICAS CLASIFICADAS EN OTRA PARTE
D640,D640,ANEMIA SIDEROBLASTICA HEREDITARIA
D641,D641,ANEMIA SIDEROBLASTICA SECUNDARIA A OTRA ENFERMEDAD
D642,D642,ANEMIA SIDEROBLASTICA SECUNDARIA
D643,D643,OTRAS ANEMIAS SIDEROBLASTICAS
D644,D644,ANEMIA DISERITROPOYETICA CONGENITA
D648,D648,OTRAS ANEMIAS ESPECIFICADAS
D649,D649,ANEMIA DE TIPO NO ESPECIFICADO
D65X,D65,COAGULACION INTRAVASCULAR DISEMINADA [SINDROME DE DESFIBRINACION]
D66X,D66,DEFICIENCIA HEREDITARIA DEL FACTOR VIII
D67X,D67,DEFICIENCIA HEREDITARIA DEL FACTOR IX
D680,D680,ENFERMEDAD DE VON WILLEBRAND
D681,D681,DEFICIENCIA HEREDITARIA DEL FACTOR XI
D682,D682,DEFICIENCIA HEREDITARIA DE OTROS FACTORES DE LA COAGULACION
D683,D683,TRASTORNO HEMORRAGICO DEBIDO A ANTICOAGULANTES CIRCULANTES
D684,D684,DEFICIENCIA ADQUIRIDA DE FACTORES DE LA COAGULACION
D685,D685,TROMBOFILIA PRIMARIA
D686,D686,OTRA TROMBOFILIA
D688,D688,OTROS DEFECTOS ESPECIFICADOS DE LA COAGULACION
D689,D689,DEFECTO DE LA COAGULACION
D690,D690,PURPURA ALERGICA
D691,D691,DEFECTO CUALITATIVOS DE LAS PLAQUETAS
D692,D692,OTRAS PURPURAS NO TROMBOCITOPENICAS
D693,D693,PURPURA TROMBOCITOPENICA IDIOPATICA
D694,D694,OTRAS TROMBOCITOPENIAS PRIMARIAS
D695,D695,TROMBOCITOPENIA SECUNDARIA
D696,D696,TROMBOCITOPENIA NO ESPECIFICADA
D698,D698,OTRAS AFECCIONES HEMORRAGICAS ESPECIFICADAS
D699,D699,AFECCION HEMORRAGICA
D70X,D70,AGRANULOCITOSIS
D71X,D71,TRASTORNOS FUNCIONALES DE LOS POLIMORFONUCLEARES NEUTROFILOS
D720,D720,ANOMALIAS GENETICAS DE LOS LEUCOCITOS
D721,D721,EOSINOFILIA
D728,D728,OTROS TRASTORNOS ESPECIFICADOS DE LOS LEUCOCITOS
D729,D729,TRASTORNO DE LOS LEUCOCITOS
D730,D730,HIPOESPLENISMO
D731,D731,HIPERESPLENISMO
D732,D732,ESPLENOMEGALIA CONGESTIVA CRONICA
D733,D733,ABSCESO DEL BAZO
D734,D734,QUISTE DEL BAZO
D735,D735,INFARTO DEL BAZO
D738,D738,OTRAS ENFERMEDADES DEL BAZO
D739,D739,ENFERMEDAD DEL BAZO
D740,D740,METAHEMOGLOBINEMIA CONGENITA
D748,D748,OTRAS METAHEMOGLOBINEMIAS
D749,D749,METAHEMOGLOBINEMIA
D750,D750,ERITROCITOSIS FAMILIAR
D751,D751,POLICITEMIA SECUNDARIA
D752,D752,TROMBOCITOSIS ESENCIAL
D758,D758,OTRAS ENFERMEDADES ESPECIFICADAS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS
D759,D759,ENFERMEDAD DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS
D760,D760,HISTIOCITOSIS DE LAS CELULAS DE LANGERHANS
D761,D761,LINFOHISTIOCITOSIS HEMOFAGOCITICA
D762,D762,SINDROME HEMOFAGOCITICO ASOCIADO A INFECCION
D763,D763,OTROS SINDROMES HISTIOCITICOS
D77X,D77,OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
D800,D800,HIPOGAMMAGLOBULINEMIA HEREDITARIA
D801,D801,HIPOGAMMAGLOBULINEMIA NO FAMILIAR
D802,D802,DEFICIENCIA SELECTIVA DE INMUNOGLOBULINA A [IGA]
D803,D803,DEFICIENCIA SELECTIVA DE SUBCLASES DE LA INMUNOGLOBULINA G [IGG]
